query,baseline_ms,min_ms,max_ms,faster,speedup,best_row,worst_row,file,regret_spark,regret_pct
q67,47017.159,31770.338,45362.361,True,1.4799074218222041,3,6,All\q67.csv,1.4799074218222041,47.990742182220416
q90,2741.833,1638.074,9694.985,True,1.6738151023702226,6,1,All\q90.csv,1.6738151023702226,67.38151023702225
q69,8901.523,4997.849,8315.838,True,1.7810708166653293,6,1,All\q69.csv,1.7810708166653293,78.10708166653293
q1,15544.155,8655.311,16122.564,True,1.795909471075043,3,1,All\q1.csv,1.795909471075043,79.59094710750429
q92,1623.674,866.112,2888.947,True,1.8746697886647454,4,1,All\q92.csv,1.8746697886647454,87.46697886647455
q85,59277.829,31270.208,37312.525,True,1.8956646850574195,1,4,All\q85.csv,1.8956646850574195,89.56646850574195
q40,12678.682,6600.78,13881.09,True,1.9207854223288765,4,1,All\q40.csv,1.9207854223288765,92.07854223288766
q87,31248.127,14944.136,21820.098,True,2.0909958929709953,3,1,All\q87.csv,2.0909958929709953,109.09958929709953
q93,112145.842,49523.966,62192.674,True,2.2644761932031052,6,1,All\q93.csv,2.2644761932031052,126.44761932031052
q41,1897.943,818.192,2885.611,True,2.3196792439916303,3,1,All\q41.csv,2.3196792439916303,131.96792439916302
q95,49739.451,21108.663,35399.704,True,2.3563525079726744,5,1,All\q95.csv,2.3563525079726744,135.63525079726745
q47,63552.753,23031.915,29440.736,True,2.7593342976474164,4,5,All\q47.csv,2.7593342976474164,175.93342976474165
q49,43339.677,14648.083,32864.607,True,2.958726885968628,5,1,All\q49.csv,2.958726885968628,195.87268859686282
q94,30904.42,7813.277,26158.639,True,3.955372374485123,6,1,All\q94.csv,3.955372374485123,295.5372374485123
q35,31387.155,7681.782,13069.94,True,4.08592107924958,3,1,All\q35.csv,4.08592107924958,308.592107924958
q38,54862.042,10858.904,20022.639,True,5.052263285502846,3,1,All\q38.csv,5.052263285502846,405.2263285502846
q46,28314.79,4920.366,7769.648,True,5.7546105310052145,2,1,All\q46.csv,5.7546105310052145,475.46105310052144
