query,default_ms,n_combos,share_faster,best_ms,best_speedup,median_ms,median_speedup,p10_ms,p25_ms,p75_ms,p90_ms,mean_ms
q47,63552.753,6,1.0,23031.915,2.7593342976474164,27954.743499999997,2.274327740635578,24536.430500000002,26379.445,28620.9625,29048.5855,27179.919833333333
q48,7047.38,3,0.0,7425.921,0.9490243701757667,14991.646,0.47008714053146666,8939.066,11208.783500000001,16695.3715,17717.6068,13605.554666666669
q49,43339.677,6,1.0,14648.083,2.958726885968628,15489.108,2.801243058926487,14724.176,14842.244,16515.756250000002,24774.466500000002,18329.25016666667
q5,7209.911,6,0.6666666666666666,5683.86,1.2684884919755237,6326.165,1.1398831028642973,5934.2215,6199.768,7920.70875,10462.421,7574.269166666666
q50,30520.688,6,0.16666666666666666,25266.921,1.2079306378485926,42452.483,0.7192275447688412,31031.5035,37997.108250000005,44351.840500000006,45193.2895,39559.092000000004
q51,22537.953,6,0.8333333333333334,18461.272,1.2208234080511895,21298.499,1.0582484203203035,19245.707000000002,20309.19875,21727.63175,26067.387000000002,22203.86433333333
q52,872.957,6,0.0,1100.283,0.7933931543066648,1605.2105000000001,0.5444769555023096,1134.2435,1263.59175,1743.19675,2177.5065,1638.9868333333334
q53,4090.679,6,0.0,4457.318,0.9177444822200256,4551.8215,0.8986910064867702,4464.4205,4490.793,5423.05025,6706.059499999999,5240.7671666666665
q54,4574.957,6,0.16666666666666666,3607.387,1.2682190738060541,24011.722999999998,0.1905511145615636,5539.948,11544.33575,25916.09375,29052.46,19534.710333333333
q55,775.238,6,0.0,854.55,0.9071885787841555,1513.4465,0.5125334664750184,987.7964999999999,1209.9904999999999,1749.884,2195.478,1565.5736666666664
q56,2260.186,6,0.0,2635.445,0.8576107640265686,3028.3285,0.746435971075063,2772.9735,2931.7255,3456.907,4284.321,3361.874333333333
q57,16480.227,6,0.16666666666666666,15491.579,1.0638184138621376,17483.391499999998,0.9450505351203681,16008.339,16543.095999999998,19044.7665,19913.265,17801.665166666666
q58,15771.691,6,0.8333333333333334,10833.088,1.4558813701134894,11139.0115,1.4159246702602322,10941.634,11060.03825,11859.486,17171.087,13083.910833333333
q59,18106.162,6,0.6666666666666666,16689.844,1.0848610688032794,17296.603,1.0474805941236647,16771.3715,16853.96775,19293.231499999998,23332.5455,19133.506666666668
q6,5068.143,6,0.6666666666666666,4272.05,1.1863491766248053,4772.964,1.0624942449453316,4353.717500000001,4490.25975,5105.4487500000005,6340.833500000001,5155.838333333333
q60,2240.28,6,0.0,3286.647,0.6816308535720448,3480.114,0.6439675633079234,3317.456,3364.78375,3609.9170000000004,4374.9375,3724.1691666666666
q61,1144.558,6,0.5,815.008,1.4043518591228552,1142.6985,1.0028326500084992,910.5605,1030.35525,1247.6235000000001,1947.58,1333.613
q62,2343.625,6,0.16666666666666666,2279.901,1.0279503364400473,2827.4225,0.8303604181832828,2371.881,2525.016,3502.0,5898.641,3699.3148333333334
q63,3664.995,6,0.0,3853.812,0.9510051346562832,4686.883,0.7820174882938855,4191.505,4559.348,5150.564249999999,6786.493,5221.6269999999995
q64,78571.451,3,0.6666666666666666,68269.232,1.1509057403780374,68658.266,1.1443844358085011,68347.03880000001,68463.74900000001,75846.958,80160.17319999999,73321.04933333333
q65,12136.598,6,0.5,10975.216,1.1058186007455342,12255.115,0.9904841078937471,11538.0775,12101.1655,14084.49325,16234.307,13342.499833333333
q66,3869.532,6,0.6666666666666666,3246.918,1.1917553815649178,3604.6095,1.0736665680544148,3376.3514999999998,3519.1155,3971.178,5489.1015,4156.6875
q67,47017.159,6,1.0,31770.338,1.4799074218222041,39340.8405,1.1952281866595165,32542.07,34728.47125,41180.24975,43516.479999999996,38466.463500000005
q68,2639.052,6,0.16666666666666666,2197.551,1.2009059175418455,3092.925,0.8633032290702993,2441.1735,2703.4055,3449.4115,3963.7225000000003,3165.9403333333335
q69,8901.523,6,1.0,4997.849,1.7810708166653293,5233.801,1.7015739947325175,5010.281,5047.148999999999,5629.51175,7019.736,5754.606
q7,5828.559,6,0.16666666666666666,5465.548,1.0664180426189653,6361.421,0.9178804827278055,5655.5255,5907.15425,6922.0895,7538.3245,6518.423666666667
q70,6802.672,6,0.6666666666666666,5631.268,1.2080178034503064,6165.549,1.1047263215118157,5711.1895,5830.03825,7007.0015,9234.77,7037.1695
q71,1688.765,3,0.6666666666666666,1245.165,1.3562580059670808,1308.27,1.2908382826175027,1257.786,1276.7175,2296.8845,2890.0532,1946.311333333333
q72,40692.942,6,0.8333333333333334,33781.136,1.2046054934327846,37773.5365,1.0776949336814547,35004.4155,36430.44075,39900.94775,42952.24,38576.73066666666
q73,1477.527,3,0.0,1864.614,0.7924036824779821,1979.145,0.746548130632167,1887.5202,1921.8795,3172.0280000000002,3887.7578000000003,2736.2233333333334
q74,23168.972,3,0.6666666666666666,16041.095,1.444351024665087,17377.286,1.333290595550997,16308.3332,16709.1905,21516.2555,23999.637199999997,19691.202
q75,71741.698,6,0.8333333333333334,63479.274,1.130159396592973,64336.965,1.11509990791783,63658.604,63922.59975,66941.79525,72513.059,66836.20933333333
q76,18722.048,6,0.8333333333333334,13833.568,1.3533781017305153,14082.8645,1.3294426573869922,13896.523,13975.93375,14355.226499999999,19624.834,15868.073833333334
q77,67489.281,6,1.0,59237.248,1.139304800250005,61821.2515,1.0916844204207525,59611.2425,60436.68875,62562.906749999995,63772.14599999999,61734.880000000005
q78,46277.551,6,0.8333333333333334,38179.745,1.2120969115954021,41985.5545,1.1022293424632543,38730.6565,39938.10075,42483.851,51946.317500000005,44220.842833333336
q79,3614.81,6,0.3333333333333333,3389.4,1.0665043960582994,5473.344499999999,0.6635513789796809,3434.9674999999997,3885.0235,6223.5045,6524.155,5144.155666666667
q8,2454.402,6,0.16666666666666666,2389.738,1.02705903324967,2581.1045,0.9512021046818624,2432.712,2490.76225,3194.3062499999996,4315.5419999999995,3109.7861666666668
q80,49972.608,12,0.9166666666666666,3389.4,14.743791821561338,22386.579999999998,4.38572958846468,3642.3304,5660.77225,39469.6055,39986.002100000005,23321.759666666665
q81,4645.08,6,0.0,4687.435,0.9909641413694269,5547.839,0.8376883660973574,5052.4985,5419.4095,5833.353,7426.7885,6009.042
q82,23766.698,6,0.16666666666666666,18236.859,1.3032232140414093,46469.79,0.511451288600034,22785.258,32074.01075,50543.4265,56539.1505,41931.3995
q83,12572.311,6,0.16666666666666666,11800.41,1.0654130661561758,12911.325499999999,0.9738702933652956,12218.325499999999,12668.0885,13826.049500000001,16832.613,13987.421333333334
q84,20538.445,6,0.0,22642.136,0.9070895519751317,32006.6665,0.6425844906107601,25070.8285,28328.22175,37203.35275,39673.3195,32250.2715
q85,59277.829,6,1.0,31270.208,1.8956646850574195,35271.243,1.6807056942605003,32838.2755,34562.510500000004,36185.86325,36861.5925,34990.37033333333
q86,1803.091,6,0.0,2113.459,0.8531469027788096,2815.9325,0.6422572740436061,2215.808,2403.91275,2994.07075,3666.5735,2899.438
q87,31248.127,3,1.0,14944.136,2.0909958929709953,16574.831,1.8852757533395064,15270.275,15759.483499999998,19197.464500000002,20771.0446,17779.688333333335
q88,69843.945,3,0.6666666666666666,68420.309,1.020807213834711,68532.775,1.0191320138430118,68442.80219999999,68476.54199999999,82376.6575,90682.987,77724.54133333333
q9,113703.058,3,0.6666666666666666,103598.5,1.0975357558265806,103664.189,1.096840279144035,103611.6378,103631.3445,126191.402,139707.7298,118660.43466666667
q90,2741.833,6,0.8333333333333334,1638.074,1.6738151023702226,1961.624,1.4009183472031002,1750.27,1863.8829999999998,2055.81,5875.5135,3195.8025000000002
q91,1522.744,3,0.6666666666666666,1169.573,1.3019657601534917,1357.157,1.1220102022094718,1207.0898,1263.365,1898.4115000000002,2223.1642,1655.4653333333335
q92,1623.674,6,0.8333333333333334,866.112,1.8746697886647454,977.0050000000001,1.6714986827716722,882.9805,900.61825,1139.5525,2028.9945,1296.3266666666666
q93,317670.059,6,1.0,49523.966,6.414471308699308,52750.52250000001,6.022748978549807,49928.947,50803.476,54410.01825,58488.195,53722.554833333335
q94,30904.42,6,1.0,7813.277,3.955372374485123,8417.5715,3.6715136475365915,8078.051,8350.74725,11521.202000000001,19350.016,11948.546166666667
q95,49739.451,6,1.0,21108.663,2.3563525079726744,21581.461499999998,2.3047309329400374,21169.9725,21316.3015,22609.96175,29174.566,23975.333333333332
q96,11270.307,6,0.8333333333333334,8885.457,1.2683992505956643,9085.2245,1.2405124122437023,8885.575,8932.076,9143.051,14303.811,10758.2035
q97,5942.48,3,0.0,7178.12,0.8278602196675452,7770.956,0.7647038536828673,7296.6872,7474.5380000000005,9114.130000000001,9920.0344,8468.793333333333
q98,2363.095,3,0.0,4504.789,0.5245739589579002,12753.966,0.18528315035495624,6154.6244,8629.3775,16671.711499999998,19022.358799999998,12616.070666666667
q99,3783.359,6,0.6666666666666666,2936.422,1.2884248244972962,3486.721,1.0852882699704034,3060.3140000000003,3247.65825,3802.1547499999997,7286.8255,4611.286833333333
